ID	log2fold	p	p.adj
ENSG00000108950	3.34296183990019	1.31833281512247e-16	3.05945496405471e-12
ENSG00000170439	5.13237318750423	6.72939050436328e-15	7.80844827173793e-11
ENSG00000161944	1.83861345088136	3.35660469645722e-12	2.59655750635609e-08
ENSG00000112290	1.62489496653355	4.72824092922717e-11	2.74320718111437e-07
ENSG00000158006	-0.597190006553409	6.01118818888785e-11	2.79003288599041e-07
ENSG00000136160	3.1434170084884	1.78724123967291e-10	6.91275124151487e-07
ENSG00000051128	1.26743542637642	3.3295219525184e-10	1.10383165645849e-06
ENSG00000257017	2.79153776330004	5.46459321850046e-10	1.58521018527175e-06
ENSG00000110079	2.16750507117695	1.33878773550303e-09	3.45213855309097e-06
ENSG00000249138	2.41151003525256	1.53238401145249e-09	3.55620357537779e-06
ENSG00000186818	1.42542886658225	2.40966794356544e-09	4.6600969971936e-06
ENSG00000187116	1.70299777085075	2.29329803459628e-09	4.6600969971936e-06
ENSG00000010327	1.47142151865747	2.9524651702553e-09	5.27060455431651e-06
ENSG00000119686	1.28723187277363	3.20941997284412e-09	5.32007209355667e-06
ENSG00000186407	1.26373441746386	4.2333716174823e-09	6.54959034179412e-06
ENSG00000154856	1.55131603189075	4.58331798095588e-09	6.6478162740027e-06
ENSG00000278869	1.30377301764269	5.28728624966903e-09	7.21776776447465e-06
ENSG00000284735	1.31358571359911	5.75505953767288e-09	7.4198703717097e-06
ENSG00000233901	1.3816510085591	6.34244893744044e-09	7.74680065743054e-06
ENSG00000267461	2.50453512259639	6.85718397975157e-09	7.95673343090474e-06
ENSG00000141505	1.09254775679991	8.50003567117427e-09	9.39334894385435e-06
ENSG00000183019	2.42474025616755	1.18806434472153e-08	1.11454653368765e-05
ENSG00000228549	-2.07955944072656	1.06595364145441e-08	1.11454653368765e-05
ENSG00000267659	4.33213506099905	1.12355818114639e-08	1.11454653368765e-05
ENSG00000127952	0.914130301498301	1.24868401240484e-08	1.11454653368765e-05
ENSG00000264304	1.2601825391419	1.23368452631135e-08	1.11454653368765e-05
ENSG00000008394	1.16575459808322	1.65178033537389e-08	1.41973578677859e-05
