ID	log2fold	p	p.adj
ENSG00000204936	7.40309273631779	2.7107806351243e-25	6.9808022915721e-21
ENSG00000170439	6.73796828268439	6.66591956616611e-24	8.58303803339548e-20
ENSG00000135424	4.54615283158112	8.33703631483782e-21	7.15651197265678e-17
ENSG00000163220	2.79286464794977	3.31199794848263e-20	2.13226427923312e-16
ENSG00000183019	3.96977222742584	4.35717149512599e-20	2.24411760684969e-16
ENSG00000274290	2.75548103597812	7.18227922064941e-20	3.08263424150272e-16
ENSG00000257017	4.15902715386002	9.76031961226768e-20	3.59068215221596e-16
ENSG00000243273	4.35824383448839	5.64683198226376e-19	1.76249515518597e-15
ENSG00000108950	3.65309102513026	6.15969881821751e-19	1.76249515518597e-15
ENSG00000187116	2.53230499810039	2.40554930776708e-18	6.1947705773618e-15
ENSG00000110079	3.07163890955924	2.87628072535892e-17	6.73363465813116e-14
ENSG00000163958	4.81270786307131	1.14325299662189e-16	2.45342093075058e-13
ENSG00000143545	1.90868114808986	8.0033587881859e-16	1.58540381164126e-12
ENSG00000284735	1.84115564646545	8.66389720787888e-16	1.59366200640926e-12
ENSG00000008394	1.68101800636162	1.18323567313542e-15	1.72921550793909e-12
ENSG00000246705	1.15063795798196	1.1850603888596e-15	1.72921550793909e-12
ENSG00000137869	7.44946465313443	1.18070003859647e-15	1.72921550793909e-12
ENSG00000152463	6.08220474691572	1.20867812763683e-15	1.72921550793909e-12
ENSG00000255557	1.78307889977079	3.75126270863446e-15	5.08434301435551e-12
ENSG00000138772	3.37837399887249	4.65415905521814e-15	5.99269519949888e-12
ENSG00000166527	3.28570356317282	7.78927876331496e-15	9.55188127204223e-12
ENSG00000112290	1.94146405113936	1.07441550627273e-14	1.2576521871607e-11
ENSG00000163221	3.80424693090708	1.59476322407125e-14	1.78558011070795e-11
ENSG00000118508	1.6521363147548	1.68667065238813e-14	1.80979761001246e-11
ENSG00000139572	3.05716457568578	2.01119371830145e-14	2.07169042534795e-11
ENSG00000204791	3.35346648311268	2.74684981984122e-14	2.72064909848273e-11
ENSG00000233461	2.08299292572663	3.09605475354489e-14	2.95294822271437e-11
ENSG00000163754	2.68281300448267	3.29173253914689e-14	3.02745344100396e-11
ENSG00000233750	2.24567021168689	3.53095775171394e-14	3.05234194743728e-11
ENSG00000264304	1.70477206877522	3.55585035815153e-14	3.05234194743728e-11
ENSG00000120306	2.6524552083195	4.2824116704273e-14	3.55744081731754e-11
ENSG00000253214	2.9117025046921	6.4473149251679e-14	5.18847668602887e-11
ENSG00000143546	3.26990909849362	6.77189902000434e-14	5.28454374433793e-11
ENSG00000145555	3.36707009058653	9.86662879973817e-14	7.47310073090757e-11
ENSG00000278869	1.68300750842154	1.19739557349992e-13	8.81009451679139e-11
ENSG00000275210	2.06351414763716	1.29446878075912e-13	9.25976667836356e-11
ENSG00000171101	-1.8474447414854	1.49245545764169e-13	1.0114134985576e-10
ENSG00000148834	1.2207443620121	1.47762073537638e-13	1.0114134985576e-10
ENSG00000277157	2.32783047396622	1.66326258560048e-13	1.04313846613166e-10
ENSG00000152766	3.90423362339397	1.73032158434971e-13	1.04313846613166e-10
ENSG00000131149	-1.04103101395156	1.74180467706048e-13	1.04313846613166e-10
ENSG00000215196	2.41875857128178	1.6783487997549e-13	1.04313846613166e-10
ENSG00000112053	2.27486846635512	1.67960948715093e-13	1.04313846613166e-10
ENSG00000271646	0.926647564607557	1.93317117344662e-13	1.13143236496812e-10
ENSG00000183696	1.95949323033164	2.08608406575972e-13	1.19379637469876e-10
ENSG00000110013	1.09601454679924	2.17435431524614e-13	1.21726026796127e-10
ENSG00000265531	3.46753102039724	2.367755236735e-13	1.2912424323708e-10
ENSG00000160883	1.84764741800738	2.45693069222464e-13	1.2912424323708e-10
ENSG00000158006	-0.683841266583271	2.43977918916453e-13	1.2912424323708e-10
