,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000236911,AL137789.1,1.066291935,0.000441748,0.006776313,21.21,64.23,65.38,53.11,23.38,64.63,65.45,35.39,47.57,66.42,69.02,49.12,55.91,73.06,49.93,50.58,79.95,59.23,54.36,68.92,50.87,69.68,81.27,56.54,72.82,73.78,68.81,49.38,58.68738095
ENSG00000237372,AL606807.1,1.25893049,0.001126172,0.012141688,12733.01,6709.61,8224.88,7814.67,10732.39,8011.08,7671.02,11573.86,6810.87,9151.37,8064.35,9614.68,8577.61,9622.65,9616.52,6083.4,10155.05,5877.57,8691.95,6942.26,11702.75,6083.14,5078.57,6777.25,7515.97,7324.16,5953.89,10433.39,9001.922619
ENSG00000243273,AC020636.1,1.755711352,0.000288979,0.005276428,6047.72,5152.32,6090.67,5811.4,7088.67,6165.75,5909.97,7575.62,4294.27,4689.66,4901.31,6816.48,5595.41,4468.27,5988.7,4836.59,5374.29,4232.02,4836.86,4459.62,4943.78,3564.66,3698.06,4745.1,5079.12,4790.72,4610.59,5771.09,5376.936429
ENSG00000112651,MRPL2,0.139251679,0.291644237,0.475578213,130.06,198.52,241.91,192.51,114.8,193.07,246.41,142.52,162.61,159.9,216.41,164.79,173.32,171.24,200.9,224.29,195.13,215.14,187.08,170.69,130.65,202.97,272.89,239.49,225.36,224.71,258.29,174.17,184.5188095
ENSG00000175556,LONRF3,0.108576828,0.598696462,0.748888373,2240.68,2318.83,1654.13,1990.73,1828.24,1821.3,1718.7,1396.52,2694.7,2107.44,2227.23,1563.89,1917.69,2437.34,2139.07,2197.85,2443.23,2730.79,2389.65,2848.07,2218.69,2415.48,2553.33,2314.05,2333.36,2094.16,2118.17,1900.65,2095.739762
ENSG00000112658,SRF,0.271581843,0.027067538,0.097192691,2.83,6.67,2.8,2.95,15.94,14.09,6.93,10.52,1.11,4.92,4.68,4.75,8.95,3.42,0,3.3,1.36,4.77,6.4,12.02,5.78,2.02,1,1.57,4.6,2.03,1.89,2.69,6.032380952
ENSG00000112667,DNPH1,0.03804581,0.867650039,0.929808534,1057.43,941.71,1073.18,1124.81,935.38,942.14,1222.8,1147.82,902.66,1135.72,1034.07,961.79,1076.81,1016.04,1114.82,970.84,949.92,959.96,955.38,966.45,804.69,905.81,1051.43,957.97,978.11,1207.49,1199.07,1146.5,1015.244048
ENSG00000112679,DUSP22,0.220099839,0.011960034,0.056288078,339.28,352.83,399.76,443.29,235.97,270.96,418.13,357.74,365.05,443.63,446.85,356.51,424.91,401.85,428.51,362.83,359.1,441.86,418.93,407.1,311.01,395.85,425.39,485.27,400.14,461.61,509.98,379.77,363.9107143
ENSG00000243279,PRAF2,0.290014044,0.10624874,0.244697876,788.83,1404.65,1245.97,1323.96,1281.89,1207.3,1229.74,1129.65,967.93,1011.08,1045.77,993.48,1224.41,942.97,902.31,1338.06,1021.74,1186,1024.93,1044.99,804.69,929.03,1504.91,1340.37,1224.94,1231.86,1307.48,1186.9,1107.308095
ENSG00000112695,COX7A2,0.363751715,0.110243335,0.251095994,0,0.83,2.8,0,1.06,0,0.77,1.91,0,0.82,0,0,0,0,3.48,0,0,0.68,4.8,1.6,0,0,0,3.93,1.53,0.68,0,0.9,0.845952381
ENSG00000112699,GMDS,0.272163957,0.004169669,0.027885022,802.97,859.97,1010.6,1019.34,600.55,1027.49,1047.24,671.48,1057.53,812.63,808.31,1010.9,573.63,603.91,773.41,944.45,730.39,936.82,789.09,645.1,618.55,751.3,1032.37,1193.54,786.47,1103.26,1238.67,896.01,797.4916667
