,gene_symbol,log2fold.FLU_vs_CC,p.FLU_vs_CC,p.adj.FLU_vs_CC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000000003,TSPAN6,0.45629575,0.238332528,0.548472751,4.24,12.51,2.8,5.9,1.06,4.97,1.54,6.7,3.32,0.82,15.21,4.75,8.95,13.7,10.82,17.71,7.26,1.26,2.77,2.13,4.53,1.04,1.41,27.43,12.22,6.12,3.2,13.8,8.585714286
ENSG00000236911,AL137789.1,0.865290019,0.003654956,0.067064877,21.21,64.23,65.38,53.11,23.38,64.63,65.45,35.39,47.57,66.42,69.02,49.12,55.91,73.06,56.81,91.17,47.93,34.14,47.03,38.43,77.99,36.28,35.15,77.72,62.74,45.32,39.97,134.19,58.68738095
ENSG00000243273,AC020636.1,2.602532482,4.10E-08,0.000144099,6047.72,5152.32,6090.67,5811.4,7088.67,6165.75,5909.97,7575.62,4294.27,4689.66,4901.31,6816.48,5595.41,4468.27,5130.44,3425.03,6756.27,5740.66,7571.34,5757.68,8649.57,5874.39,9159.2,3729.72,4244.02,5443.04,3950.53,2860.72,5376.936429
ENSG00000175556,LONRF3,0.525058617,0.010792155,0.115000315,2240.68,2318.83,1654.13,1990.73,1828.24,1821.3,1718.7,1396.52,2694.7,2107.44,2227.23,1563.89,1917.69,2437.34,2368.42,2323.8,1548.19,2164.76,1657.01,1291.58,1221.53,2216.24,1799.78,2327.74,1905.69,2136.06,3050.43,1395.87,2095.739762
ENSG00000112655,PTK7,0.387349554,0.26310914,0.5750659,602.23,818.26,703.31,798.06,500.64,772.27,939.43,609.3,784.3,693.73,1063.31,755.8,654.14,795.7,723.65,975.96,779.9,709.36,569.86,236.97,681.95,535.92,376.83,896.05,689.28,538.91,569.16,806.42,771.6888095
ENSG00000022556,NLRP2,0.043955809,0.904834844,0.966239028,682.81,399.54,335.31,573.1,375.21,576.72,435.07,482.08,511.06,437.07,387.19,711.44,386.89,437.24,492.35,396.15,450.22,399.57,531.13,202.81,538.67,437.44,260.12,217.15,340.56,339.27,295.77,525.49,423.9647619
ENSG00000112667,DNPH1,0.280945726,0.218923034,0.526991588,1057.43,941.71,1073.18,1124.81,935.38,942.14,1222.8,1147.82,902.66,1135.72,1034.07,961.79,1076.81,1016.04,1148.36,1002.85,965.8,885.12,860.32,935.06,1188.89,1080.13,1297.81,943.29,911.7,918.6,713.05,1048.47,1015.244048
ENSG00000112679,DUSP22,0.095317829,0.276705921,0.589532411,339.28,352.83,399.76,443.29,235.97,270.96,418.13,357.74,365.05,443.63,446.85,356.51,424.91,401.85,277.28,480.76,258.52,279.45,215.77,172.92,343.7,306.83,248.88,386.31,365.01,339.27,167.87,397.57,363.9107143
ENSG00000243279,PRAF2,0.056058739,0.75528303,0.907699773,788.83,1404.65,1245.97,1323.96,1281.89,1207.3,1229.74,1129.65,967.93,1011.08,1045.77,993.48,1224.41,942.97,960.35,1095.98,1536.57,897.77,1244.83,576.41,1232.41,763.97,698.82,1094.91,907.63,861.04,593.14,2197.27,1107.308095
ENSG00000112695,COX7A2,0.502793638,0.027211167,0.18078427,0,0.83,2.8,0,1.06,0,0.77,1.91,0,0.82,0,0,0,0,0,0.66,0,0,0,0,0,1.04,2.81,0,0.81,1.22,3.2,0,0.845952381
ENSG00000112697,TMEM30A,0.39613431,0.0369495,0.212768565,5640.58,4183.08,5517.19,3927.62,5864.18,4724.78,4694.09,5659.71,1383.86,5919.69,3538.53,5918.07,2818.95,2812.93,4336.46,1812.86,2638.9,2901.94,7275.35,15308.97,8046.52,8329.05,13852.69,1319.69,4367.86,3384.14,5427.78,1634.16,4348.452857
ENSG00000112699,GMDS,0.001663763,0.986084151,0.996068838,802.97,859.97,1010.6,1019.34,600.55,1027.49,1047.24,671.48,1057.53,812.63,808.31,1010.9,573.63,603.91,546.45,749.68,761.02,539.93,603.05,232.7,769.92,467.51,326.21,726.9,765.05,401.74,505.21,1753.3,797.4916667
ENSG00000112701,SENP6,0.2084522,0.17838077,0.476720358,513.17,371.18,235.37,286.18,291.24,299.96,328.03,241.04,860.62,499.39,381.34,335.91,361.17,404.13,290.81,436.16,316.61,445.09,318.12,247.64,277.5,525.55,257.31,463.26,373.15,507.07,1402.11,194.39,406.2042857
