,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000243273,AC020636.1,0.082535475,0.647967625,0.771022192,5988.7,4836.59,5374.29,4232.02,4836.86,4459.62,4943.78,3564.66,3698.06,4745.1,5079.12,4790.72,4610.59,5771.09,5130.44,3425.03,6756.27,5740.66,7571.34,5757.68,8649.57,5874.39,9159.2,3729.72,4244.02,5443.04,3950.53,2860.72,5376.936429
ENSG00000165802,NSMF,0.099495791,0.676026782,0.792311898,10.45,7.7,2.71,4.77,7.2,5.61,8.09,6.06,40.13,29.84,23,2.71,0.94,2.69,4.06,5.9,5.81,31.61,0,4.27,0.91,4.15,0,17.52,4.89,7.35,14.39,3.76,8.26047619
ENSG00000166529,ZSCAN21,0.438228668,0.205731112,0.35530733,6.97,10.99,1.36,19.74,19.19,19.23,12.72,18.18,18.06,14.13,15.33,10.15,20.74,18.85,16.23,5.9,33.4,11.38,11.07,17.08,23.58,9.33,30.93,2.29,16.29,7.35,23.98,5.02,16.33166667
ENSG00000112655,PTK7,0.659236325,0.118009626,0.238801186,899.99,898.27,926.88,1081.15,937.79,1044.99,839.38,956.3,962.14,894.37,794.14,849.44,944.55,800.84,723.65,975.96,779.9,709.36,569.86,236.97,681.95,535.92,376.83,896.05,689.28,538.91,569.16,806.42,771.6888095
ENSG00000022556,NLRP2,1.931581954,3.23E-10,4.22E-08,551.61,438.69,403.82,544.66,385.35,342.99,360.72,262.55,498.63,375.34,363.34,366.17,380.84,374.38,492.35,396.15,450.22,399.57,531.13,202.81,538.67,437.44,260.12,217.15,340.56,339.27,295.77,525.49,423.9647619
ENSG00000112658,SRF,0.114767635,0.81241662,0.886361382,0,3.3,1.36,4.77,6.4,12.02,5.78,2.02,1,1.57,4.6,2.03,1.89,2.69,2.71,1.97,10.17,5.06,8.3,36.29,18.14,6.22,2.81,3.05,1.63,3.67,9.59,3.76,6.032380952
ENSG00000112659,CUL9,1.484442358,0.001780302,0.009727635,643.35,1096.18,719.55,669.25,630.79,824.61,1075.24,793.72,702.29,533.17,633.93,576.67,520.35,550.35,844.03,1029.74,1125.56,541.19,1278.03,817.65,321.03,531.77,565.24,762.71,734.09,709.16,888.91,1117.45,767.3240476
ENSG00000112667,DNPH1,0.615023244,0.006986158,0.028470887,1114.82,970.84,949.92,959.96,955.38,966.45,804.69,905.81,1051.43,957.97,978.11,1207.49,1199.07,1146.5,1148.36,1002.85,965.8,885.12,860.32,935.06,1188.89,1080.13,1297.81,943.29,911.7,918.6,713.05,1048.47,1015.244048
ENSG00000112679,DUSP22,0.486847091,0.022880141,0.070954889,428.51,362.83,359.1,441.86,418.93,407.1,311.01,395.85,425.39,485.27,400.14,461.61,509.98,379.77,277.28,480.76,258.52,279.45,215.77,172.92,343.7,306.83,248.88,386.31,365.01,339.27,167.87,397.57,363.9107143
ENSG00000243279,PRAF2,6.737968283,6.67E-24,8.58E-20,902.31,1338.06,1021.74,1186,1024.93,1044.99,804.69,929.03,1504.91,1340.37,1224.94,1231.86,1307.48,1186.9,960.35,1095.98,1536.57,897.77,1244.83,576.41,1232.41,763.97,698.82,1094.91,907.63,861.04,593.14,2197.27,1107.308095
ENSG00000112699,GMDS,1.265563344,0.000105209,0.001025097,773.41,944.45,730.39,936.82,789.09,645.1,618.55,751.3,1032.37,1193.54,786.47,1103.26,1238.67,896.01,546.45,749.68,761.02,539.93,603.05,232.7,769.92,467.51,326.21,726.9,765.05,401.74,505.21,1753.3,797.4916667
ENSG00000175564,UCP3,1.000487711,5.99E-06,0.000103353,120.77,157.23,143.64,165.44,147.9,107.38,104.06,96.94,115.38,143.7,209.27,163.12,158.37,143.65,93.33,97.73,194.61,127.71,160.44,115.28,188.63,95.37,108.27,111.24,141.77,165.35,95.93,195.65,140.4080952
ENSG00000022567,SLC45A4,0.879151379,0.003006296,0.014674376,34.84,21.99,4.07,8.17,24.78,18.43,20.81,43.42,67.22,30.62,4.6,22.34,15.08,21.55,1.35,4.59,7.26,0,2.77,2.13,4.53,9.33,4.22,24.38,8.96,0,4.8,7.52,13.13547619
ENSG00000112739,PRPF4B,1.326072076,0.040192441,0.108323992,675.86,814.71,687.03,784.99,793.88,786.14,693.7,926,882.88,863.74,779.58,892.08,877.62,813.41,689.83,870.36,586.74,722.01,403.88,537.98,714.6,579.46,606.02,720.04,830.23,658.95,580.35,811.44,723.0535714
ENSG00000112759,SLC29A1,0.611739518,0.206366448,0.35611799,2.32,3.3,1.36,4.08,0.8,0.8,0,2.02,5.02,4.71,3.83,4.06,6.6,2.69,2.71,1.31,2.9,0,2.77,2.13,0.91,0,0,5.33,1.63,1.22,0,5.02,2.515
ENSG00000112763,BTN2A1,0.033044159,0.941546578,0.966620454,5.81,2.2,10.84,5.45,6.4,4.81,4.62,9.09,3.01,4.71,6.9,6.77,7.54,5.39,1.35,5.9,2.9,5.06,0,10.67,2.72,10.37,2.81,9.91,3.26,6.12,4.8,0,5.101904762
ENSG00000112787,FBRSL1,0.125804947,0.640909684,0.765216417,4621.87,3277.54,3356.56,3224.39,3318.64,3158.2,3456.95,2374.08,2138.98,2936.73,3593.56,3339.56,2790.3,4043.71,5060.11,3117.42,5725.11,4770.81,8489.75,11645.58,8797.39,8403.69,10337.49,2397.84,3909.97,5087.84,4324.64,2392.92,4800.011429
ENSG00000112796,ENPP5,0.458236506,0.00829971,0.032601301,517.93,411.2,403.82,264.84,414.93,248.42,350.32,182.78,238.78,308.59,312.75,412.88,365.76,484.81,553.22,322.04,1042.78,500.73,1881.08,1344.95,1037.44,910.13,1345.62,303.25,394.34,723.86,468.44,612.03,642.2292857
ENSG00000022840,RNF10,0.119984496,0.50926088,0.661579286,4.65,3.3,4.07,2.72,4,4.01,6.94,3.03,1,3.14,3.07,3.38,0,7.18,5.41,2.62,7.26,16.44,11.07,27.75,9.07,6.22,11.25,5.33,2.44,4.9,4.8,5.02,5.817619048
ENSG00000170915,PAQR8,1.084397244,1.11E-05,0.000168213,1790.69,1553.56,1725.03,1590.41,1813.22,1351.91,1913.46,1541.99,1215.97,1610.49,1500.89,1704.3,1424.37,2207.7,1424.3,1452.13,1420.39,1627.36,1344.42,2798.78,2389.56,2228.68,2194.89,1396.64,1834,2042.98,1266.22,1056,1673.265
ENSG00000112799,LY86,0.513547791,0.102189924,0.21506342,0,3.3,8.13,5.45,7.99,7.21,17.34,10.1,3.01,8.64,13.03,2.71,9.43,3.59,6.76,4.59,10.17,7.59,5.53,12.81,2.72,1.04,5.62,6.86,7.33,9.8,4.8,5.02,6.357142857
ENSG00000112812,PRSS16,0.562606546,0.075090862,0.172086846,15.1,20.89,9.49,19.06,12.79,17.63,13.87,18.18,19.06,6.28,15.33,14.21,8.48,10.77,1.35,13.77,4.36,17.7,0,6.4,4.53,2.07,16.87,8.38,10.59,7.35,11.19,1.25,10.41880952
